band_hz,feature_dim,cv_mean_accuracy,test_accuracy,best_params_json
1.0,8000,0.725,0.6333333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.7250000000000001,0.7,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.7416666666666667,0.7333333333333333,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.7583333333333334,0.7333333333333333,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.7500000000000001,0.7,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.7583333333333334,0.7333333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
10.0,800,0.7666666666666667,0.7333333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
15.0,534,0.7666666666666667,0.7333333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
20.0,400,0.7499999999999999,0.7666666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
25.0,320,0.7500000000000001,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
30.0,267,0.7583333333333334,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
35.0,229,0.7583333333333334,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
40.0,200,0.7333333333333333,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
45.0,178,0.7416666666666666,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
50.0,160,0.7499999999999999,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
55.0,146,0.7666666666666667,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
60.0,134,0.7583333333333332,0.8333333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
65.0,124,0.7666666666666667,0.8333333333333334,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
70.0,115,0.7666666666666667,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
75.0,107,0.75,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
80.0,100,0.7583333333333333,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
85.0,95,0.7416666666666667,0.8333333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
90.0,89,0.7416666666666667,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
95.0,85,0.7416666666666666,0.8333333333333334,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
100.0,80,0.7583333333333333,0.8,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
200.0,40,0.7499999999999999,0.7333333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
300.0,27,0.7666666666666667,0.7333333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
400.0,20,0.7083333333333334,0.5666666666666667,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
500.0,16,0.7333333333333334,0.6666666666666666,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
600.0,14,0.6833333333333333,0.5666666666666667,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
700.0,12,0.6833333333333333,0.6333333333333333,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
800.0,10,0.675,0.6,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
900.0,9,0.625,0.5,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
1000.0,8,0.6083333333333334,0.5333333333333333,"{""svm__C"": 1.0, ""svm__gamma"": ""scale""}"
