band_hz,feature_dim,cv_mean_accuracy,test_accuracy,best_params_json
1.0,8000,0.7314285714285715,0.7066666666666667,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
2.0,4000,0.7257142857142858,0.7466666666666667,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
3.0,2667,0.7257142857142858,0.76,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
4.0,2000,0.7314285714285715,0.7733333333333333,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
5.0,1600,0.7371428571428572,0.76,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
8.0,1000,0.7371428571428572,0.7866666666666666,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
10.0,800,0.7371428571428572,0.8,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
15.0,534,0.7371428571428572,0.8266666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
20.0,400,0.7371428571428572,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
25.0,320,0.7371428571428572,0.84,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
30.0,267,0.7257142857142858,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
35.0,229,0.7485714285714286,0.84,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
40.0,200,0.7314285714285715,0.84,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
45.0,178,0.7371428571428572,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
50.0,160,0.72,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
55.0,146,0.7485714285714286,0.84,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
60.0,134,0.7428571428571429,0.8533333333333334,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
65.0,124,0.7142857142857143,0.8666666666666667,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
70.0,115,0.7428571428571429,0.84,"{""svm__C"": 3.0, ""svm__gamma"": ""scale""}"
75.0,107,0.7428571428571429,0.8533333333333334,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
80.0,100,0.7828571428571429,0.84,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
85.0,95,0.7485714285714286,0.84,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
90.0,89,0.7428571428571428,0.8666666666666667,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
95.0,85,0.7485714285714286,0.8533333333333334,"{""svm__C"": 5.0, ""svm__gamma"": ""scale""}"
100.0,80,0.7371428571428572,0.8666666666666667,"{""svm__C"": 10.0, ""svm__gamma"": ""scale""}"
